prompt,completion
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,0
Whatever you decide to do make sure it makes you #happy.,0
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",1
Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,0
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,1
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,0
Do you think humans have the sense for recognizing impending doom? ,0
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",1
it's pretty depressing when u hit pan on ur favourite highlighter,0
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,1
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,0
And it's hard to dance with a devil on your back\nSo shake him off.,0
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,0
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,1
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,1
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,1
@BitchestheCat Look at those teef! #growl,1
Star trek online has a update to download oh fuming yay,1
"The bitter the battle, the sweeter the victory...",0
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,1
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,1
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,0
Awareness of time is awareness of time lost. #awareness #time ,0
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,1
@zorefx you guys will see what i did in the next video but its fucking horrid,1
What a fucking muppet.  @jRwild1  #stalker.,1
@adamrodricks I like your optimism!,0
My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,1
@FaithHill I remember it well #happy #afraid #Positive,0
Autocorrect changes ''em' to 'me' which I resent greatly,1
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.",1
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,1
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,0
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,1
You have to find a way to top yourself. #glee,0
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,1
#smile every morning to a positive head start with your #clients relations,0
I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,0
@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,0
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,0
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,1
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),0
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",0
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,1
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH",1
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,0
@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,0
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,0
Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,0
@wabermes The @RavalliRepublic had a good one but then the reporter quit. ,0
@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,0
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,1
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",0
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,0
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",1
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,1
@loismackey_ @Dory nah way that's horrible,1
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,1
angel delight is my everything,0
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,1
In dire need of a worship session to just let go of everything,0
Brb going to sulk in bed until Friday,1
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,0
This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative,0
Weak people revenge. Strong people forgive. Intelligent people ignore.,1
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,1
"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..",0
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,0
@Bridget_Delia @originalaubs omg that's terrible,1
"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",0
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...",0
"Jorge deserves it, honestly. He's weak.  #90dayfiance",1
Modern family never fails to cheer me up. Especially Phil.,0
Sometimes I get to sit back and be proud of myself for pleasing Him so well.,0
Follow me on Snapchat 👻 Carlabtst15 #snapchat ,0
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),1
It's way too hard not to get discouraged.,1
@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,0
"Somewhere I rd a rpt tht Pakis wr afraid of TSD &amp; asked it 2 shut dn. Congis obliged &amp; exposed it,hounded them.time to revive. #BadlaofUri",0
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",1
Manchester derby at home ,0
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",1
"@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x",0
@JaredWyand Maybe if it was transgender the media would cover it #outrage,1
her; i want a playful relationship\nme; *kicks her off the couch*,0
Romero is fucking dreadful like seriously my 11 month old is better than him.,1
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,0
Since the 'update' my @iPhone loses power nearly 40% faster. ,1
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",1
"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.",0
@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;,0
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,0
"Anger, resentment, and hatred are the destroyer of your fortune today.",1
Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,0
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,1
"@jimmyfallon @ShawnMendes I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine #FallSongs",1
so gutted i dropped one of my earrings down the sink at school,0
The Quarterback' wrecks me every time.. #glee,0
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",0
"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",0
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,0
"it's still not sunk in that im seeing joe next month, im so grateful and excited shit",0
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.",0
I'm so bored and fat and full and ridiculously overweight and rolls galore ,0
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,0
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",0
"@happyandbashful Flirt, simper, pout, repeat. Yuck.",1
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",1
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,1
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,1
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",1
Nor hell a fury like a woman scorned -- William Congreve,1
"@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",0
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,0
@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace,0
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",0
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,1
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO",0
@Myahrissavietta I'm cheery now 😘😉,0
Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby,0
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,1
@dublinwaltz bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,0
Brad Pitt being investigated for child abuse?! this all just got really #dark,1
Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh,0
should I #start posting #photos?,0
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,1
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",1
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,0
Need a new outlet for #rage,1
Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically,0
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,0
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,0
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',0
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,0
"@healeyraine I'm offended, I actually am",1
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ",1
Gaaaaaaaad! Should have stayed in London!,1
May the optimism of tomorrow be your foundation for today.,0
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,0
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",1
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty",0
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,1
@andreasarahco do you actually heely on campus bc this should scare you,0
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,0
Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,0
@STLouis_RamsFan their whole team is limited when they're on the field. ,0
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",0
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",0
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot",0
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,0
People who go the speed limit irritate me,1
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,0
Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,1
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,1
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,1
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,1
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,0
"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'",0
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,0
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",1
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,1
@AzyraiZelo I am shy xD,0
After what just happened. In need to smoke. ,1
@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,1
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,1
Chris ate all my mac n cheese so imma eat all his taffy #revenge,1
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",0
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,1
I came to work for no reason 😩🔫\nI could've stayed in bed,1
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,0
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,1
hi my names anxiety and i have shaun,0
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",0
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,1
"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.",0
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",0
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",1
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",0
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),0
